X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,log_area,temp_RH_ratio,drought_index,wind_ISI_impact,high_temp_risk,is_summer,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_fri,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed
7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,0.1576923076923077,120.5,34.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7,4,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,0.5294117647058824,704.5,6.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,0.4294117647058823,730.6,8.71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,0.08469387755102041,110.8,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,0.114,153.5,17.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,0.74,573.3,79.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,0.8607142857142858,584.5,26.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,6,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,0.09195402298850575,753.6,23.54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,6,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,0.2046875,822.1,37.800000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,0.5560975609756098,786.6,28.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,0.3423076923076923,786.6,51.12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,0.4948717948717949,786.2,90.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,0.2328767123287671,736.0999999999999,5.36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,5,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,0.49534883720930234,813.0,15.400000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,1.2,832.9000000000001,41.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,0.5088888888888888,855.0999999999999,75.06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,0.5392857142857143,116.6,42.120000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,5,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,0.34791666666666665,697.0,14.700000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,0.44166666666666665,98.69999999999999,25.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
